"Timestamp","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed . [A feladó szakszerű.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed . [A feladó segítőkész.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed . [A feladó pozitív.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed . [A feladó hatékony.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed . [A feladó ügyes.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed . [A feladó megbízható.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed . [A feladó kedves.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed . [A feladó magabiztos.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed . [A feladó őszinte.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed . [A feladó intelligens.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed . [A feladó becsületes.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed . [A feladó szorgalmas.]","Mit gondol, mi Remi neme ?","Mennyire tartja helyénvalónak az emailt ?","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed. [A feladó szakszerű.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed. [A feladó segítőkész.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed. [A feladó pozitív.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed. [A feladó hatékony.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed. [A feladó ügyes.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed. [A feladó megbízható.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed. [A feladó kedves.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed. [A feladó magabiztos.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed. [A feladó őszinte.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed. [A feladó intelligens.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed. [A feladó becsületes.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed. [A feladó szorgalmas.]","Mit gondol, mi Remi neme?","Mennyire tartja helyénvalónak az emailt?","Nem","Életkor","Legmagasabb befejezett iskolai végzettség","Milyen gyakran használ hangulatjeleket (mosolygós arc, szív, stb.) a mindennapi életben?"
"2018/10/30 1:24:16 PM GMT+1","2","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","4","3","4","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","4","3","4","3","Nő","3","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","4","4","4","4","4","5 (Teljes mértékben egyetértek)","4","5 (Teljes mértékben egyetértek)","4","4","Nő","4","Férfi","22","Szakközépiskola / Gimnázium érettségi","4"
"2018/10/30 2:47:20 PM GMT+1","1 (Egyáltalán nem értek egyet)","3","5 (Teljes mértékben egyetértek)","4","1 (Egyáltalán nem értek egyet)","3","4","4","5 (Teljes mértékben egyetértek)","1 (Egyáltalán nem értek egyet)","3","3","Nő","1","4","5 (Teljes mértékben egyetértek)","4","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","4","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","Nő","4","Nő","22","Szakközépiskola / Gimnázium érettségi","3"
"2018/10/30 10:51:17 PM GMT+1","2","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","4","3","4","5 (Teljes mértékben egyetértek)","4","4","4","4","4","Nő","3","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","3","4","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","4","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","4","5 (Teljes mértékben egyetértek)","Nő","5","Nő","22","Szakközépiskola / Gimnázium érettségi","3"
"2018/10/31 10:57:48 AM GMT+1","4","4","4","5 (Teljes mértékben egyetértek)","4","4","4","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","4","5 (Teljes mértékben egyetértek)","4","Férfi","4","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","Nő","5","Nő","20","Szakközépiskola / Gimnázium érettségi","4"
"2018/10/31 11:12:41 AM GMT+1","2","4","2","2","1 (Egyáltalán nem értek egyet)","3","3","5 (Teljes mértékben egyetértek)","3","1 (Egyáltalán nem értek egyet)","3","1 (Egyáltalán nem értek egyet)","Nő","2","4","4","3","5 (Teljes mértékben egyetértek)","4","3","3","5 (Teljes mértékben egyetértek)","3","3","3","3","Nő","4","Nő","50","Egyetemi vagy MA / MSc diploma","1"
"2018/10/31 1:43:43 PM GMT+1","3","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","4","4","4","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","4","4","4","Nő","3","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","4","4","4","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","4","4","4","Nő","5","Nő","21","Szakközépiskola / Gimnázium érettségi","5"
"2018/10/31 4:07:57 PM GMT+1","1 (Egyáltalán nem értek egyet)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","3","1 (Egyáltalán nem értek egyet)","2","5 (Teljes mértékben egyetértek)","3","3","2","3","3","Nő","1","4","5 (Teljes mértékben egyetértek)","4","5 (Teljes mértékben egyetértek)","4","4","4","3","3","4","3","3","Nő","4","Nő","20","Szakközépiskola / Gimnázium érettségi","4"
"2018/11/01 4:19:03 PM GMT+1","3","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","4","4","2","5 (Teljes mértékben egyetértek)","3","3","2","3","5 (Teljes mértékben egyetértek)","Nő","3","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","4","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","Férfi","5","Nő","17","Általános iskola 8 osztály","5"
"2018/11/01 4:22:35 PM GMT+1","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","Nő","5","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","4","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","3","4","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","Nő","5","Nő","14","Általános iskola 8 osztály","2"
"2018/11/01 4:35:18 PM GMT+1","2","4","5 (Teljes mértékben egyetértek)","3","3","3","2","4","5 (Teljes mértékben egyetértek)","2","3","3","Férfi","4","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","4","4","Férfi","5","Férfi","24","Főiskolai vagy BA / BSc diploma","4"
"2018/11/01 4:36:04 PM GMT+1","3","3","5 (Teljes mértékben egyetértek)","4","4","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","Nő","3","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","Nő","5","Nő","16","Általános iskola 8 osztály","2"
"2018/11/01 6:53:47 PM GMT+1","1 (Egyáltalán nem értek egyet)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","3","3","3","5 (Teljes mértékben egyetértek)","2","3","3","3","3","Nő","1","3","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","4","3","3","4","4","3","4","3","3","Nő","2","Nő","24","Szakközépiskola / Gimnázium érettségi","4"
"2018/11/01 8:26:20 PM GMT+1","3","4","4","4","4","3","4","4","4","3","3","3","Nő","3","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","Nő","5","Nő","22","Főiskolai vagy BA / BSc diploma","3"
"2018/11/01 9:00:45 PM GMT+1","3","4","2","2","1 (Egyáltalán nem értek egyet)","1 (Egyáltalán nem értek egyet)","2","3","2","3","2","1 (Egyáltalán nem értek egyet)","Nő","3","2","3","2","2","1 (Egyáltalán nem értek egyet)","2","3","2","1 (Egyáltalán nem értek egyet)","2","3","2","Nő","2","Nő","16","Általános iskola 8 osztály","2"
"2018/11/01 11:32:38 PM GMT+1","4","1 (Egyáltalán nem értek egyet)","3","3","2","4","3","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","4","2","3","Nő","2","3","4","4","3","2","4","4","5 (Teljes mértékben egyetértek)","4","3","2","3","Nő","4","Nő","18","Szakközépiskola / Gimnázium érettségi","5"
"2018/11/02 7:59:42 AM GMT+1","3","4","5 (Teljes mértékben egyetértek)","4","4","4","5 (Teljes mértékben egyetértek)","4","3","4","3","4","Nő","4","5 (Teljes mértékben egyetértek)","4","4","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","4","4","4","4","5 (Teljes mértékben egyetértek)","4","4","Nő","5","Nő","17","Tanuló vagyok","2"
"2018/11/02 10:06:43 AM GMT+1","3","5 (Teljes mértékben egyetértek)","4","4","3","4","5 (Teljes mértékben egyetértek)","4","4","3","3","3","Nő","5","5 (Teljes mértékben egyetértek)","3","3","4","2","2","2","3","2","3","3","3","Nő","4","Nő","24","Egyetemi vagy MA / MSc diploma","4"
"2018/11/03 11:32:39 AM GMT+1","3","4","4","3","3","4","4","3","4","3","4","3","Nő","3","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","4","5 (Teljes mértékben egyetértek)","4","4","5 (Teljes mértékben egyetértek)","4","4","5 (Teljes mértékben egyetértek)","4","4","Nő","5","Nő","48","Szakközépiskola / Gimnázium érettségi","3"
"2018/11/05 9:51:13 PM GMT+1","2","4","4","4","3","3","5 (Teljes mértékben egyetértek)","4","4","3","4","3","Nő","4","4","4","3","4","4","3","3","4","4","4","3","3","Férfi","4","Nő","22","Szakközépiskola / Gimnázium érettségi","5"